id,bbref_url,color
abdulka01,https://www.basketball-reference.com/players/a/abdulka01.html,#FF6B6B
jamesle01,https://www.basketball-reference.com/players/j/jamesle01.html,#4ECDC4
chambwi01,https://www.basketball-reference.com/players/c/chambwi01.html,#45B7D1
malonka01,https://www.basketball-reference.com/players/m/malonka01.html,#96CEB4
jordami01,https://www.basketball-reference.com/players/j/jordami01.html,#D4A373
paulch01,https://www.basketball-reference.com/players/p/paulch01.html,#9B5DE5
stockjo01,https://www.basketball-reference.com/players/s/stockjo01.html,#F15BB5
duncati01,https://www.basketball-reference.com/players/d/duncati01.html,#00BBF9
nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01.html,#00F5D4
garneke01,https://www.basketball-reference.com/players/g/garneke01.html,#FF9F1C
roberos01,https://www.basketball-reference.com/players/r/roberos01.html,#E76F51
onealsh01,https://www.basketball-reference.com/players/o/onealsh01.html,#2A9D8F
robinda01,https://www.basketball-reference.com/players/r/robinda01.html,#E63946
barklch01,https://www.basketball-reference.com/players/b/barklch01.html,#457B9D
millere01,https://www.basketball-reference.com/players/m/millere01.html,#1D3557
bryanko01,https://www.basketball-reference.com/players/b/bryanko01.html,#F4A261
duranke01,https://www.basketball-reference.com/players/d/duranke01.html,#BC6C25
malonmo01,https://www.basketball-reference.com/players/m/malonmo01.html,#606C38
hardeja01,https://www.basketball-reference.com/players/h/hardeja01.html,#283618
russebi01,https://www.basketball-reference.com/players/r/russebi01.html,#DDA15E
olajuha01,https://www.basketball-reference.com/players/o/olajuha01.html,#BC4749
westje01,https://www.basketball-reference.com/players/w/westje01.html,#5F0F40
johnsma02,https://www.basketball-reference.com/players/j/johnsma02.html,#9B2226
piercpa01,https://www.basketball-reference.com/players/p/piercpa01.html,#606C38
parisro01,https://www.basketball-reference.com/players/p/parisro01.html,#0077B6
birdla01,https://www.basketball-reference.com/players/b/birdla01.html,#023E8A
curryst01,https://www.basketball-reference.com/players/c/curryst01.html,#03045E
westbru01,https://www.basketball-reference.com/players/w/westbru01.html,#6D597A
jokicni01,https://www.basketball-reference.com/players/j/jokicni01.html,#355070
allenra02,https://www.basketball-reference.com/players/a/allenra02.html,#6B705C
mutomdi01,https://www.basketball-reference.com/players/m/mutomdi01.html,#B7B7A4
gasolpa01,https://www.basketball-reference.com/players/g/gasolpa01.html,#A5A58D
kiddja01,https://www.basketball-reference.com/players/k/kiddja01.html,#FFB4A2
drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01.html,#E5989B
nashst01,https://www.basketball-reference.com/players/n/nashst01.html,#B5838D
iversal01,https://www.basketball-reference.com/players/i/iversal01.html,#6D6875
leonaka01,https://www.basketball-reference.com/players/l/leonaka01.html,#FFB703
paytoga01,https://www.basketball-reference.com/players/p/paytoga01.html,#FB8500
howardw01,https://www.basketball-reference.com/players/h/howardw01.html,#219EBC
havlijo01,https://www.basketball-reference.com/players/h/havlijo01.html,#8ECAE6
ewingpa01,https://www.basketball-reference.com/players/e/ewingpa01.html,#95D5B2
pippesc01,https://www.basketball-reference.com/players/p/pippesc01.html,#52B788
wadedw01,https://www.basketball-reference.com/players/w/wadedw01.html,#2D6A4F
thomais01,https://www.basketball-reference.com/players/t/thomais01.html,#D8F3DC
pettibo01,https://www.basketball-reference.com/players/p/pettibo01.html,#081C15
davisan02,https://www.basketball-reference.com/players/d/davisan02.html,#FFD60A
antetgi01,https://www.basketball-reference.com/players/a/antetgi01.html,#BF0603
cousybo01,https://www.basketball-reference.com/players/c/cousybo01.html,#720026
ervinju01,https://www.basketball-reference.com/players/e/ervinju01.html,#CE4257
bayloel01,https://www.basketball-reference.com/players/b/bayloel01.html,#FF7F51
